       id                                               text    label
0  147963  ধন্যবাদ বর্ডার গার্ড দেরকে এভাবে পাহারা দিতে হ...      nan
1  214275  ছোটবেলায় অনেক কষ্ট করে কিছু গালাগালি শিখছিলাম...      nan
2  849172          অতিরিক্ত এ নিজেকে বাদুর বানাইয়া ফেলছেন রে  Abusive
3  821985  চিন ভারত রাশিয়া এই তিন দেশ এক থাকলে বিশ্বকে শা...      nan
4  477288  এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই ...  Abusive

Top 20 words most associated with 'nan':
--------------------------------------------------
 1. চোর             (χ²=489.08, p=0.0000)
 2. দালাল           (χ²=469.12, p=0.0000)
 3. ভোট             (χ²=412.21, p=0.0000)
 4. লীগ             (χ²=411.64, p=0.0000)
 5. হাসিনা          (χ²=344.75, p=0.0000)
 6. করে             (χ²=304.38, p=0.0000)
 7. বাল             (χ²=299.50, p=0.0000)
 8. আওয়ামী         (χ²=298.84, p=0.0000)
 9. বাচ্চা          (χ²=298.78, p=0.0000)
10. বিএনপি          (χ²=288.58, p=0.0000)
11. আল্লাহ          (χ²=287.56, p=0.0000)
12. আওয়ামী          (χ²=281.22, p=0.0000)
13. এই              (χ²=270.11, p=0.0000)
14. ধন্যবাদ         (χ²=268.52, p=0.0000)
15. তোর             (χ²=247.87, p=0.0000)
16. লীগের           (χ²=236.27, p=0.0000)
17. আর              (χ²=235.46, p=0.0000)
18. দফা             (χ²=220.39, p=0.0000)
19. তুই             (χ²=200.39, p=0.0000)
20. টিভি            (χ²=196.68, p=0.0000)

Top 20 words most associated with 'Abusive':
--------------------------------------------------
 1. দালাল           (χ²=268.38, p=0.0000)
 2. টিভি            (χ²=265.66, p=0.0000)
 3. আল্লাহ          (χ²=194.10, p=0.0000)
 4. ফালতু           (χ²=180.65, p=0.0000)
 5. চোর             (χ²=174.62, p=0.0000)
 6. ধন্যবাদ         (χ²=122.52, p=0.0000)
 7. সময়             (χ²=122.01, p=0.0000)
 8. মিথ্যা          (χ²=115.45, p=0.0000)
 9. পাগল            (χ²=114.28, p=0.0000)
10. জুতা            (χ²=113.80, p=0.0000)
11. লজ্জা           (χ²=112.88, p=0.0000)
12. নিউজ            (χ²=92.24, p=0.0000)
13. আমিন            (χ²=82.86, p=0.0000)
14. এদের            (χ²=77.24, p=0.0000)
15. দালালি          (χ²=74.49, p=0.0000)
16. ইনশাআল্লাহ      (χ²=71.14, p=0.0000)
17. সাংবাদিক        (χ²=69.65, p=0.0000)
18. এরা             (χ²=68.31, p=0.0000)
19. ছি              (χ²=68.18, p=0.0000)
20. আমাদের          (χ²=64.11, p=0.0000)

Top 20 words most associated with 'Profane':
--------------------------------------------------
 1. বাল             (χ²=2980.27, p=0.0000)
 2. মাগির           (χ²=1559.10, p=0.0000)
 3. বালের           (χ²=1458.64, p=0.0000)
 4. খানকির          (χ²=1431.08, p=0.0000)
 5. বেশ্যা          (χ²=1196.07, p=0.0000)
 6. দফা             (χ²=1127.74, p=0.0000)
 7. বাচ্চা          (χ²=1107.08, p=0.0000)
 8. সালা            (χ²=799.06, p=0.0000)
 9. শালা            (χ²=775.11, p=0.0000)
10. মাদারচোদ        (χ²=689.66, p=0.0000)
11. কুত্তার         (χ²=686.95, p=0.0000)
12. কবে             (χ²=576.82, p=0.0000)
13. জারজ            (χ²=562.61, p=0.0000)
14. তোর             (χ²=559.67, p=0.0000)
15. পোলা            (χ²=554.16, p=0.0000)
16. শালার           (χ²=535.45, p=0.0000)
17. পোলারা          (χ²=510.53, p=0.0000)
18. শুয়োরের        (χ²=481.79, p=0.0000)
19. মাদার           (χ²=470.19, p=0.0000)
20. বাচ্চারা        (χ²=456.11, p=0.0000)

Top 20 words most associated with 'Religious Hate':
--------------------------------------------------
 1. মুসলিম          (χ²=1378.39, p=0.0000)
 2. হিন্দু          (χ²=1280.53, p=0.0000)
 3. ইহুদি           (χ²=945.91, p=0.0000)
 4. মুসলমানদের      (χ²=664.77, p=0.0000)
 5. গজব             (χ²=659.61, p=0.0000)
 6. ধর্ম            (χ²=542.23, p=0.0000)
 7. হিন্দুদের       (χ²=465.32, p=0.0000)
 8. মুসলমান         (χ²=450.64, p=0.0000)
 9. ইসলাম           (χ²=437.29, p=0.0000)
10. কাফের           (χ²=396.06, p=0.0000)
11. মসজিদ           (χ²=364.53, p=0.0000)
12. ধর্মীয়         (χ²=326.71, p=0.0000)
13. ইহুদিরা         (χ²=319.08, p=0.0000)
14. মোল্লারা        (χ²=309.28, p=0.0000)
15. আল্লাহর         (χ²=298.53, p=0.0000)
16. হিন্দুর         (χ²=277.54, p=0.0000)
17. আল্লাহ          (χ²=276.85, p=0.0000)
18. ইহুদী           (χ²=272.99, p=0.0000)
19. মুসলিমরা        (χ²=272.11, p=0.0000)
20. কাফেরদের        (χ²=253.14, p=0.0000)

Top 20 words most associated with 'Political Hate':
--------------------------------------------------
 1. ভোট             (χ²=1738.07, p=0.0000)
 2. বিএনপি          (χ²=1534.63, p=0.0000)
 3. আওয়ামী          (χ²=1175.79, p=0.0000)
 4. লীগ             (χ²=1131.27, p=0.0000)
 5. সরকার           (χ²=985.28, p=0.0000)
 6. নির্বাচন        (χ²=975.93, p=0.0000)
 7. বিএনপির         (χ²=724.30, p=0.0000)
 8. লীগের           (χ²=691.71, p=0.0000)
 9. হাসিনা          (χ²=685.83, p=0.0000)
10. আওয়ামী         (χ²=684.23, p=0.0000)
11. সরকারের         (χ²=516.48, p=0.0000)
12. অবৈধ            (χ²=366.33, p=0.0000)
13. জনগণ            (χ²=361.87, p=0.0000)
14. বি              (χ²=358.15, p=0.0000)
15. করে             (χ²=355.82, p=0.0000)
16. এন              (χ²=354.73, p=0.0000)
17. পার্টি          (χ²=323.65, p=0.0000)
18. দল              (χ²=320.35, p=0.0000)
19. চোর             (χ²=308.99, p=0.0000)
20. রাজনীতি         (χ²=305.59, p=0.0000)

Top 20 words most associated with 'Sexism':
--------------------------------------------------
 1. নারী            (χ²=871.51, p=0.0000)
 2. পরকিয়া          (χ²=801.57, p=0.0000)
 3. মহিলাদের        (χ²=797.08, p=0.0000)
 4. পুরুষদের        (χ²=369.65, p=0.0000)
 5. হিজরা           (χ²=282.22, p=0.0000)
 6. মহিলা           (χ²=246.20, p=0.0000)
 7. মহিলাকে         (χ²=214.65, p=0.0000)
 8. দাদারা          (χ²=213.15, p=0.0000)
 9. বিয়ের          (χ²=213.15, p=0.0000)
10. লিঙ্গের         (χ²=190.79, p=0.0000)
11. হোটেলে          (χ²=181.85, p=0.0000)
12. মেয়ের           (χ²=172.71, p=0.0000)
13. বেডা            (χ²=158.38, p=0.0000)
14. মেয়ে            (χ²=144.17, p=0.0000)
15. নারীরা          (χ²=140.13, p=0.0000)
16. আবাসিক          (χ²=125.87, p=0.0000)
17. তান্ডব          (χ²=125.87, p=0.0000)
18. ধর্মীয়          (χ²=125.87, p=0.0000)
19. মেয়েদের         (χ²=121.95, p=0.0000)
20. পুরুষ           (χ²=113.97, p=0.0000)
